Number,Player,col_2,Country,Team,Goals (Penalty),fecha_create,fecha_update
1,Mohamed Salah,,Egypt,Liverpool FC,28 (9),2025-05-24,2025-05-24
2,Alexander Isak,,Sweden,Newcastle United,23 (4),2025-05-24,2025-05-24
3,Erling Haaland,,Norway,Manchester City,21 (2),2025-05-24,2025-05-24
4,Chris Wood,,New Zealand,Nottingham Forest,20 (3),2025-05-24,2025-05-24
5,Bryan Mbeumo,,Cameroon,Brentford FC,19 (5),2025-05-24,2025-05-24
6,Yoane Wissa,,Congo DR,Brentford FC,18 (0),2025-05-24,2025-05-24
7,Ollie Watkins,,England,Aston Villa,16 (2),2025-05-24,2025-05-24
8,Matheus Cunha,,Brazil,Wolverhampton Wanderers,15 (0),2025-05-24,2025-05-24
9,Cole Palmer,,England,Chelsea FC,15 (4),2025-05-24,2025-05-24
10,Jean-Philippe Mateta,,France,Crystal Palace,14 (2),2025-05-24,2025-05-24
11,Jørgen Strand Larsen,,Norway,Wolverhampton Wanderers,14 (0),2025-05-24,2025-05-24
12,Luis Díaz,,Colombia,Liverpool FC,13 (0),2025-05-24,2025-05-24
13,Jarrod Bowen,,England,West Ham United,12 (1),2025-05-24,2025-05-24
14,Liam Delap,,England,Ipswich Town,12 (2),2025-05-24,2025-05-24
15,Raúl Jiménez,,Mexico,Fulham FC,12 (3),2025-05-24,2025-05-24
16,Justin Kluivert,,Netherlands,AFC Bournemouth,12 (6),2025-05-24,2025-05-24
17,Brennan Johnson,,Wales,Tottenham Hotspur,11 (0),2025-05-24,2025-05-24
18,Kevin Schade,,Germany,Brentford FC,11 (0),2025-05-24,2025-05-24
19,Evanilson,,Brazil,AFC Bournemouth,10 (0),2025-05-24,2025-05-24
20,Cody Gakpo,,Netherlands,Liverpool FC,10 (0),2025-05-24,2025-05-24
21,Nicolas Jackson,,Senegal,Chelsea FC,10 (0),2025-05-24,2025-05-24
22,João Pedro,,Brazil,Brighton & Hove Albion,10 (5),2025-05-24,2025-05-24
23,Kaoru Mitoma,,Japan,Brighton & Hove Albion,10 (0),2025-05-24,2025-05-24
24,Danny Welbeck,,England,Brighton & Hove Albion,10 (1),2025-05-24,2025-05-24
25,Harvey Barnes,,England,Newcastle United,9 (0),2025-05-24,2025-05-24
26,Kai Havertz,,Germany,Arsenal FC,9 (0),2025-05-24,2025-05-24
27,Alex Iwobi,,Nigeria,Fulham FC,9 (0),2025-05-24,2025-05-24
28,James Maddison,,England,Tottenham Hotspur,9 (0),2025-05-24,2025-05-24
29,Iliman Ndiaye,,Senegal,Everton FC,9 (2),2025-05-24,2025-05-24
30,Antoine Semenyo,,Ghana,AFC Bournemouth,9 (0),2025-05-24,2025-05-24
31,Tomáš Souček,,Czech Republic,West Ham United,9 (0),2025-05-24,2025-05-24
32,Jamie Vardy,,England,Leicester City,9 (1),2025-05-24,2025-05-24
33,Beto,,Portugal,Everton FC,8 (0),2025-05-24,2025-05-24
34,Bruno Fernandes,,Portugal,Manchester United,8 (3),2025-05-24,2025-05-24
35,Eberechi Eze,,England,Crystal Palace,8 (1),2025-05-24,2025-05-24
36,Gabriel Martinelli,,Brazil,Arsenal FC,8 (0),2025-05-24,2025-05-24
37,Jacob Murphy,,England,Newcastle United,8 (0),2025-05-24,2025-05-24
38,Rodrigo Muniz,,Brazil,Fulham FC,8 (0),2025-05-24,2025-05-24
39,Morgan Rogers,,England,Aston Villa,8 (0),2025-05-24,2025-05-24
